question_id,id,answer
0,0,Renault
0,1,Peugot
0,2,Mercedes
0,3,Honda
0,4,Audi
0,5,Opel
0,6,Fiat
0,7,Bugatti
0,8,Koenigsegg
1,1,Apple
1,2,Banana
1,3,Grape
1,4,Peach
1,5,watermelon
1,6,apricot
1,7,coconut
2,0,Andorra
2,1,UnitedArab
2,2,Afghanistan
2,3,AntiguaandBarbuda
2,4,Anguilla
2,5,Albania
2,6,Armenia
2,7,Netherlands
2,8,Angola
2,9,Antarctica
2,10,Argentina
2,11,AmericanSamoa
2,12,Austria
2,13,Australia
2,14,Aruba
2,15,Azerbaijan
2,16,Bosniaand
2,17,Barbados
2,18,Bangladesh
2,19,Belgium
2,20,Burkina Faso
2,21,Bulgaria
2,22,Bahrain
2,23,Burundi
2,24,Benin
2,25,Bermuda
2,26,Brunei
2,27,Bolivia
2,28,Brazil
2,29,Bahamas
2,30,Bhutan
2,31,Bouvet Island
2,32,Botswana
2,33,Belarus
2,34,Belize
2,35,Canada
2,36,Cocos
2,37,Congo
2,38,Central
2,39,Congo
2,40,Switzerland
2,41,Côte
2,42,Cook
2,43,Chile
2,44,Cameroon
2,45,China
2,46,Colombia
2,47,Costa Rica
2,48,Cuba
2,49,Cape Verde
2,50,Christmas
2,51,Cyprus
2,52,Czecs
2,53,Germany
2,54,Djibouti
2,55,Denmark
2,56,Dominica
2,57,Dominican
2,58,Algeria
2,59,Ecuador
2,60,Estonia
2,61,Egypt
2,62,Western
2,63,Eritrea
2,64,Spain
2,65,Ethiopia
2,66,Finland
2,67,Fiji
2,68,Falkland
2,69,Micronesia
2,70,Faroe
2,71,France
2,72,Gabon
2,73,United
2,74,Grenada
2,75,Georgia
2,76,French
2,77,Guernsey
2,78,Ghana
2,79,Gibraltar
2,80,Greenland
2,81,Gambia
2,82,Guinea
2,83,Guadeloupe
2,84,Equatorial
2,85,Greece
2,86,South
2,87,Guatemala
2,88,Guam
2,89,Guinea
2,90,Guyana
2,91,Gaza
2,92,HongKong
2,93,Heard
2,94,Honduras
2,95,Croatia
2,96,Haiti
2,97,Hungary
2,98,Indonesia
2,99,Ireland
2,100,Israel
2,101,Isle
2,102,India
2,103,British
2,104,Iraq
2,105,Iran
2,106,Iceland
2,107,Italy
2,108,Jersey
2,109,Jamaica
2,110,Jordan
2,111,Japan
2,112,Kenya
2,113,Kyrgyzstan
2,114,Cambodia
2,115,Kiribati
2,116,Comoros
2,117,Saint
2,118,Korea
2,119,Korea
2,120,Kuwait
2,121,Cayman
2,122,Kazakhstan
2,123,Laos
2,124,Lebanon
2,125,Saint
2,126,Liechtenstein
2,127,Sri
2,128,Liberia
2,129,Lesotho
2,130,Lithuania
2,131,Luxembourg
2,132,Latvia
2,133,Libya
2,134,Morocco
2,135,Monaco
2,136,Moldova
2,137,Montenegro
2,138,Madagascar
2,139,Marshall
2,140,Macedonia
2,141,Mali
2,142,Myanmar
2,143,Mongolia
2,144,Macau
2,145,Northern
2,146,Martinique
2,147,Mauritania
2,148,Montserrat
2,149,Malta
2,150,Mauritius
2,151,Maldives
2,152,Malawi
2,153,Mexico
2,154,Malaysia
2,155,Mozambique
2,156,Namibia
2,157,New Caledonia
2,158,Niger
2,159,Norfolk
2,160,Nigeria
2,161,Nicaragua
2,162,Netherlands
2,163,Norway
2,164,Nepal
2,165,Nauru
2,166,Niue
2,167,NewZealand
2,168,Oman
2,169,Panama
2,170,Peru
2,171,French
2,172,Papua
2,173,Philippines
2,174,Pakistan
2,175,Poland
2,176,Saint
2,177,Pitcairn
2,178,Puerto
2,179,Palestinian
2,180,Portugal
2,181,Palau
2,182,Paraguay
2,183,Qatar
2,184,Réunion
2,185,Romania
2,186,Serbia
2,187,Russia
2,188,Rwanda
2,189,SaudiArabia
2,190,Solomon
2,191,Seychelles
2,192,Sudan
2,193,Sweden
2,194,Singapore
2,195,SaintHelena
2,196,Slovenia
2,197,Svalbard
2,198,Slovakia
2,199,SierraLeone
2,200,SanMarino
2,201,Senegal
2,202,Somalia
2,203,Suriname
2,204,SãoTomé
2,205,ElSalvador
2,206,Syria
2,207,Swaziland
2,208,Turks
2,209,Chad
2,210,French
2,211,Togo
2,212,Thailand
2,213,Tajikistan
2,214,Tokelau
2,215,Timor-Leste
2,216,Turkmenistan
2,217,Tunisia
2,218,Tonga
2,219,Turkey
2,220,Trinid
2,221,Tuvalu
2,222,Taiwan
2,223,Tanzania
2,224,Ukraine
2,225,Uganda
2,226,US
2,227,UnitedStates
2,228,Uruguay
2,229,Uzbekistan
2,230,VaticanCity
2,231,Saint
2,232,Venezuela
2,233,British
2,234,US
2,235,Vietnam
2,236,Vanuatu
2,237,Wall
2,238,Samoa
2,239,Kosovo
2,240,Yemen
2,241,Mayotte
2,242,SouthAfrica
2,243,Zambia
2,244,Zimbabwe
3,0,Huawei
3,1,Samsung
3,2,Apple
3,3,Xiaomi
3,4,Turkcell
3,5,GeneralMobile
3,6,Oppo
3,7,Sony
